order,filename1,filename2,transcript
1,wav/eval_data/eng/cosy2/1089-134686-0010.wav,wav/eval_data/eng/speakers/1089-134686-0002.wav,well now ennis i declare you have a head and so has my stick
2,wav/eval_data/eng/lmspt-dc/6829-68769-0036.wav,wav/eval_data/eng/speakers/6829-68769-0009.wav,they left him then for the jailer arrived to unlock the door and escort them to the office
3,wav/eval_data/eng/dualcodec/8455-210777-0059.wav,wav/eval_data/eng/speakers/8455-210777-0002.wav,but it is surmised that you will find difficulties in the way of your entering at once upon your government
4,wav/eval_data/eng/lmspt-mimi/237-126133-0015.wav,wav/eval_data/eng/speakers/237-126133-0010.wav,yes all alone by himself asserted jasper vehemently and winking furiously to the others to stop their laughing he did now truly phronsie
5,wav/eval_data/eng/mimi/4507-16021-0033.wav,wav/eval_data/eng/speakers/4507-16021-0046.wav,do we really know the mountain well when we are not acquainted with the cavern
6,wav/eval_data/eng/lmspt-dc/1089-134686-0010.wav,wav/eval_data/eng/speakers/1089-134686-0002.wav,well now ennis i declare you have a head and so has my stick
7,wav/eval_data/eng/mimi/8455-210777-0059.wav,wav/eval_data/eng/speakers/8455-210777-0002.wav,but it is surmised that you will find difficulties in the way of your entering at once upon your government
8,wav/eval_data/eng/cosy2/6829-68769-0036.wav,wav/eval_data/eng/speakers/6829-68769-0009.wav,they left him then for the jailer arrived to unlock the door and escort them to the office
9,wav/eval_data/eng/dualcodec/237-126133-0015.wav,wav/eval_data/eng/speakers/237-126133-0010.wav,yes all alone by himself asserted jasper vehemently and winking furiously to the others to stop their laughing he did now truly phronsie
10,wav/eval_data/eng/lmspt-mimi/4507-16021-0033.wav,wav/eval_data/eng/speakers/4507-16021-0046.wav,do we really know the mountain well when we are not acquainted with the cavern
11,wav/eval_data/eng/cosy2/8455-210777-0059.wav,wav/eval_data/eng/speakers/8455-210777-0002.wav,but it is surmised that you will find difficulties in the way of your entering at once upon your government
12,wav/eval_data/eng/lmspt-dc/4507-16021-0033.wav,wav/eval_data/eng/speakers/4507-16021-0046.wav,do we really know the mountain well when we are not acquainted with the cavern
13,wav/eval_data/eng/lmspt-mimi/1089-134686-0010.wav,wav/eval_data/eng/speakers/1089-134686-0002.wav,well now ennis i declare you have a head and so has my stick
14,wav/eval_data/eng/mimi/6829-68769-0036.wav,wav/eval_data/eng/speakers/6829-68769-0009.wav,they left him then for the jailer arrived to unlock the door and escort them to the office
15,wav/eval_data/eng/cosy2/237-126133-0015.wav,wav/eval_data/eng/speakers/237-126133-0010.wav,yes all alone by himself asserted jasper vehemently and winking furiously to the others to stop their laughing he did now truly phronsie
16,wav/eval_data/eng/dualcodec/4507-16021-0033.wav,wav/eval_data/eng/speakers/4507-16021-0046.wav,do we really know the mountain well when we are not acquainted with the cavern
17,wav/eval_data/eng/mimi/1089-134686-0010.wav,wav/eval_data/eng/speakers/1089-134686-0002.wav,well now ennis i declare you have a head and so has my stick
18,wav/eval_data/eng/lmspt-dc/237-126133-0015.wav,wav/eval_data/eng/speakers/237-126133-0010.wav,yes all alone by himself asserted jasper vehemently and winking furiously to the others to stop their laughing he did now truly phronsie
19,wav/eval_data/eng/lmspt-mimi/6829-68769-0036.wav,wav/eval_data/eng/speakers/6829-68769-0009.wav,they left him then for the jailer arrived to unlock the door and escort them to the office
20,wav/eval_data/eng/lmspt-dc/8455-210777-0059.wav,wav/eval_data/eng/speakers/8455-210777-0002.wav,but it is surmised that you will find difficulties in the way of your entering at once upon your government
21,wav/eval_data/eng/dualcodec/6829-68769-0036.wav,wav/eval_data/eng/speakers/6829-68769-0009.wav,they left him then for the jailer arrived to unlock the door and escort them to the office
22,wav/eval_data/eng/lmspt-mimi/8455-210777-0059.wav,wav/eval_data/eng/speakers/8455-210777-0002.wav,but it is surmised that you will find difficulties in the way of your entering at once upon your government
23,wav/eval_data/eng/cosy2/4507-16021-0033.wav,wav/eval_data/eng/speakers/4507-16021-0046.wav,do we really know the mountain well when we are not acquainted with the cavern
24,wav/eval_data/eng/mimi/237-126133-0015.wav,wav/eval_data/eng/speakers/237-126133-0010.wav,yes all alone by himself asserted jasper vehemently and winking furiously to the others to stop their laughing he did now truly phronsie
25,wav/eval_data/eng/dualcodec/1089-134686-0010.wav,wav/eval_data/eng/speakers/1089-134686-0002.wav,well now ennis i declare you have a head and so has my stick
